image,class,xmin,ymin,xmax,ymax
images\Missing_hole\01_missing_hole_01.jpg,missing_hole,2459,1274,2530,1329
images\Missing_hole\01_missing_hole_01.jpg,missing_hole,1613,334,1679,396
images\Missing_hole\01_missing_hole_01.jpg,missing_hole,1726,794,1797,854
images\Missing_hole\01_missing_hole_02.jpg,missing_hole,2584,232,2650,298
images\Missing_hole\01_missing_hole_02.jpg,missing_hole,2366,803,2406,860
images\Missing_hole\01_missing_hole_02.jpg,missing_hole,1506,802,1559,856
images\Missing_hole\01_missing_hole_03.jpg,missing_hole,2651,487,2700,531
images\Missing_hole\01_missing_hole_03.jpg,missing_hole,1342,749,1393,796
images\Missing_hole\01_missing_hole_03.jpg,missing_hole,2082,582,2135,620
images\Missing_hole\01_missing_hole_04.jpg,missing_hole,1619,225,1673,278
images\Missing_hole\01_missing_hole_04.jpg,missing_hole,337,754,386,814
images\Missing_hole\01_missing_hole_04.jpg,missing_hole,217,1009,277,1067
images\Missing_hole\01_missing_hole_05.jpg,missing_hole,804,298,860,365
images\Missing_hole\01_missing_hole_05.jpg,missing_hole,279,294,353,374
images\Missing_hole\01_missing_hole_05.jpg,missing_hole,1068,1051,1110,1107
images\Missing_hole\01_missing_hole_05.jpg,missing_hole,1613,392,1677,460
images\Missing_hole\01_missing_hole_06.jpg,missing_hole,1446,480,1504,542
images\Missing_hole\01_missing_hole_06.jpg,missing_hole,1326,1203,1386,1269
images\Missing_hole\01_missing_hole_06.jpg,missing_hole,2070,800,2140,860
images\Missing_hole\01_missing_hole_07.jpg,missing_hole,1737,340,1793,394
images\Missing_hole\01_missing_hole_07.jpg,missing_hole,1390,1042,1470,1122
images\Missing_hole\01_missing_hole_07.jpg,missing_hole,2580,238,2648,294
images\Missing_hole\01_missing_hole_08.jpg,missing_hole,2757,700,2817,767
images\Missing_hole\01_missing_hole_08.jpg,missing_hole,2637,1336,2700,1391
images\Missing_hole\01_missing_hole_08.jpg,missing_hole,482,1125,539,1183
images\Missing_hole\01_missing_hole_09.jpg,missing_hole,1222,620,1293,689
images\Missing_hole\01_missing_hole_09.jpg,missing_hole,482,1118,539,1180
images\Missing_hole\01_missing_hole_09.jpg,missing_hole,162,482,222,542
images\Missing_hole\01_missing_hole_10.jpg,missing_hole,1624,402,1673,454
images\Missing_hole\01_missing_hole_10.jpg,missing_hole,331,751,388,816
images\Missing_hole\01_missing_hole_10.jpg,missing_hole,866,623,915,682
images\Missing_hole\01_missing_hole_11.jpg,missing_hole,2073,685,2146,752
images\Missing_hole\01_missing_hole_11.jpg,missing_hole,1500,736,1559,800
images\Missing_hole\01_missing_hole_11.jpg,missing_hole,482,843,562,916
images\Missing_hole\01_missing_hole_12.jpg,missing_hole,1062,1047,1117,1112
images\Missing_hole\01_missing_hole_12.jpg,missing_hole,2633,932,2702,989
images\Missing_hole\01_missing_hole_12.jpg,missing_hole,2460,1220,2528,1276
images\Missing_hole\01_missing_hole_13.jpg,missing_hole,1384,296,1460,362
images\Missing_hole\01_missing_hole_13.jpg,missing_hole,1340,738,1397,802
images\Missing_hole\01_missing_hole_13.jpg,missing_hole,708,620,768,683
images\Missing_hole\01_missing_hole_14.jpg,missing_hole,2295,640,2359,712
images\Missing_hole\01_missing_hole_14.jpg,missing_hole,159,751,220,812
images\Missing_hole\01_missing_hole_14.jpg,missing_hole,864,623,917,680
images\Missing_hole\01_missing_hole_15.jpg,missing_hole,2075,1034,2139,1087
images\Missing_hole\01_missing_hole_15.jpg,missing_hole,2470,1105,2526,1158
